#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2021 08 03 08 15 00 1 9999.000
2021 08 03 08 30 00 1 9999.000
2021 08 03 08 45 00 1 9999.000
2021 08 03 09 00 00 1 9999.000
2021 08 03 09 15 00 1 9999.000
2021 08 03 09 30 00 1 9999.000
2021 08 03 09 45 00 1 9999.000
2021 08 03 10 00 00 1 9999.000
2021 08 03 10 15 00 1 9999.000
2021 08 03 10 30 00 1 9999.000
2021 08 03 10 45 00 1 9999.000
2021 08 03 11 00 00 1 9999.000
2021 08 03 11 15 00 1 9999.000
2021 08 03 11 30 00 1 9999.000
2021 08 03 11 45 00 1 9999.000
2021 08 03 12 00 00 1 9999.000
2021 08 03 12 15 00 1 9999.000
2021 08 03 12 30 00 1 9999.000
2021 08 03 12 45 00 1 9999.000
2021 08 03 13 00 00 1 9999.000
2021 08 03 13 15 00 1 9999.000
2021 08 03 13 30 00 1 9999.000
2021 08 03 13 45 00 1 9999.000
2021 08 03 14 00 00 1 9999.000
2021 08 03 14 15 00 1 9999.000
2021 08 03 14 30 00 1 9999.000
2021 08 03 14 45 00 1 9999.000
2021 08 03 15 00 00 1 9999.000
2021 08 03 15 15 00 1 9999.000
2021 08 03 15 30 00 1 9999.000
2021 08 03 15 45 00 1 9999.000
2021 08 03 16 00 00 1 9999.000
2021 08 03 16 15 00 1 9999.000
2021 08 03 16 30 00 1 9999.000
2021 08 03 16 45 00 1 9999.000
2021 08 03 17 00 00 1 9999.000
2021 08 03 17 15 00 1 9999.000
2021 08 03 17 30 00 1 9999.000
2021 08 03 17 45 00 1 9999.000
2021 08 03 18 00 00 1 9999.000
2021 08 03 18 15 00 1 9999.000
2021 08 03 18 30 00 1 9999.000
2021 08 03 18 45 00 1 9999.000
2021 08 03 19 00 00 1 9999.000
2021 08 03 19 15 00 1 9999.000
2021 08 03 19 30 00 1 9999.000
2021 08 03 19 45 00 1 9999.000
2021 08 03 20 00 00 1 9999.000
2021 08 03 20 15 00 1 9999.000
2021 08 03 20 30 00 1 9999.000
2021 08 03 20 45 00 1 9999.000
2021 08 03 21 00 00 1 9999.000
2021 08 03 21 15 00 1 9999.000
2021 08 03 21 30 00 1 9999.000
2021 08 03 21 45 00 1 9999.000
2021 08 03 22 00 00 1 9999.000
2021 08 03 22 15 00 1 9999.000
2021 08 03 22 30 00 1 9999.000
2021 08 03 22 45 00 1 9999.000
2021 08 03 23 00 00 1 9999.000
2021 08 03 23 15 00 1 9999.000
2021 08 03 23 30 00 1 9999.000
2021 08 03 23 45 00 1 9999.000
2021 08 04 00 00 00 1 9999.000
2021 08 04 00 15 00 1 9999.000
2021 08 04 00 30 00 1 9999.000
2021 08 04 00 45 00 1 9999.000
2021 08 04 01 00 00 1 9999.000
2021 08 04 01 15 00 1 9999.000
2021 08 04 01 30 00 1 9999.000
2021 08 04 01 45 00 1 9999.000
2021 08 04 02 00 00 1 9999.000
2021 08 04 02 15 00 1 9999.000
2021 08 04 02 30 00 1 9999.000
2021 08 04 02 45 00 1 9999.000
2021 08 04 03 00 00 1 9999.000
2021 08 04 03 15 00 1 9999.000
2021 08 04 03 30 00 1 9999.000
2021 08 04 03 45 00 1 9999.000
2021 08 04 04 00 00 1 9999.000
2021 08 04 04 15 00 1 9999.000
2021 08 04 04 30 00 1 9999.000
2021 08 04 04 45 00 1 9999.000
2021 08 04 05 00 00 1 9999.000
2021 08 04 05 15 00 1 9999.000
2021 08 04 05 30 00 1 9999.000
2021 08 04 05 45 00 1 9999.000
2021 08 04 06 00 00 1 9999.000
2021 08 04 06 15 00 1 9999.000
2021 08 04 06 30 00 1 9999.000
2021 08 04 06 45 00 1 9999.000
2021 08 04 07 00 00 1 9999.000
2021 08 04 07 15 00 1 9999.000
2021 08 04 07 30 00 1 9999.000
2021 08 04 07 45 00 1 9999.000
2021 08 04 08 00 00 1 9999.000
2021 08 04 08 15 00 1 9999.000
2021 08 04 08 30 00 1 9999.000
2021 08 04 08 45 00 1 9999.000
2021 08 04 09 00 00 1 9999.000
2021 08 04 09 15 00 1 9999.000
2021 08 04 09 30 00 1 9999.000
2021 08 04 09 45 00 1 9999.000
2021 08 04 10 00 00 1 9999.000
2021 08 04 10 15 00 1 9999.000
2021 08 04 10 30 00 1 9999.000
2021 08 04 10 45 00 1 9999.000
2021 08 04 11 00 00 1 9999.000
2021 08 04 11 15 00 1 9999.000
2021 08 04 11 30 00 1 9999.000
2021 08 04 11 45 00 1 9999.000
2021 08 04 12 00 00 1 9999.000
2021 08 04 12 15 00 1 9999.000
2021 08 04 12 30 00 1 9999.000
2021 08 04 12 45 00 1 9999.000
2021 08 04 13 00 00 1 9999.000
2021 08 04 13 15 00 1 9999.000
2021 08 04 13 30 00 1 9999.000
2021 08 04 13 45 00 1 9999.000
2021 08 04 14 00 00 1 9999.000
2021 08 04 14 15 00 1 9999.000
2021 08 04 14 30 00 1 9999.000
2021 08 04 14 45 00 1 9999.000
2021 08 04 15 00 00 1 9999.000
2021 08 04 15 15 00 1 9999.000
2021 08 04 15 30 00 1 9999.000
2021 08 04 15 45 00 1 9999.000
2021 08 04 16 00 00 1 9999.000
2021 08 04 16 15 00 1 9999.000
2021 08 04 16 30 00 1 9999.000
2021 08 04 16 45 00 1 9999.000
2021 08 04 17 00 00 1 9999.000
2021 08 04 17 15 00 1 9999.000
2021 08 04 17 30 00 1 9999.000
2021 08 04 17 45 00 1 9999.000
2021 08 04 18 00 00 1 9999.000
2021 08 04 18 15 00 1 9999.000
2021 08 04 18 30 00 1 9999.000
2021 08 04 18 45 00 1 9999.000
2021 08 04 19 00 00 1 9999.000
2021 08 04 19 15 00 1 9999.000
2021 08 04 19 30 00 1 9999.000
2021 08 04 19 45 00 1 9999.000
2021 08 04 20 00 00 1 9999.000
2021 08 04 20 15 00 1 9999.000
2021 08 04 20 30 00 1 9999.000
2021 08 04 20 45 00 1 9999.000
2021 08 04 21 00 00 1 9999.000
2021 08 04 21 15 00 1 9999.000
2021 08 04 21 30 00 1 9999.000
2021 08 04 21 45 00 1 9999.000
2021 08 04 22 00 00 1 9999.000
2021 08 04 22 15 00 1 9999.000
2021 08 04 22 30 00 1 9999.000
2021 08 04 22 45 00 1 9999.000
2021 08 04 23 00 00 1 9999.000
2021 08 04 23 15 00 1 9999.000
2021 08 04 23 30 00 1 9999.000
2021 08 04 23 45 00 1 9999.000
2021 08 05 00 00 00 1 9999.000
2021 08 05 00 15 00 1 9999.000
2021 08 05 00 30 00 1 9999.000
2021 08 05 00 45 00 1 9999.000
2021 08 05 01 00 00 1 9999.000
2021 08 05 01 15 00 1 9999.000
2021 08 05 01 30 00 1 9999.000
2021 08 05 01 45 00 1 9999.000
2021 08 05 02 00 00 1 9999.000
2021 08 05 02 15 00 1 9999.000
2021 08 05 02 30 00 1 9999.000
2021 08 05 02 45 00 1 9999.000
2021 08 05 03 00 00 1 9999.000
2021 08 05 03 15 00 1 9999.000
2021 08 05 03 30 00 1 9999.000
2021 08 05 03 45 00 1 9999.000
2021 08 05 04 00 00 1 9999.000
2021 08 05 04 15 00 1 9999.000
2021 08 05 04 30 00 1 9999.000
2021 08 05 04 45 00 1 9999.000
2021 08 05 05 00 00 1 9999.000
2021 08 05 05 15 00 1 9999.000
2021 08 05 05 30 00 1 9999.000
2021 08 05 05 45 00 1 9999.000
2021 08 05 06 00 00 1 9999.000
2021 08 05 06 15 00 1 9999.000
2021 08 05 06 30 00 1 9999.000
2021 08 05 06 45 00 1 9999.000
2021 08 05 07 00 00 1 9999.000
2021 08 05 07 15 00 1 9999.000
2021 08 05 07 30 00 1 9999.000
2021 08 05 07 45 00 1 9999.000
2021 08 05 08 00 00 1 9999.000
2021 08 05 08 15 00 1 9999.000
2021 08 05 08 30 00 1 9999.000
2021 08 05 08 45 00 1 9999.000
2021 08 05 09 00 00 1 9999.000
2021 08 05 09 15 00 1 9999.000
2021 08 05 09 30 00 1 9999.000
2021 08 05 09 45 00 1 9999.000
2021 08 05 10 00 00 1 9999.000
2021 08 05 10 15 00 1 9999.000
2021 08 05 10 30 00 1 9999.000
2021 08 05 10 45 00 1 9999.000
2021 08 05 11 00 00 1 9999.000
2021 08 05 11 15 00 1 9999.000
2021 08 05 11 30 00 1 9999.000
2021 08 05 11 45 00 1 9999.000
2021 08 05 12 00 00 1 9999.000
2021 08 05 12 15 00 1 9999.000
2021 08 05 12 30 00 1 9999.000
2021 08 05 12 45 00 1 9999.000
2021 08 05 13 00 00 1 9999.000
2021 08 05 13 15 00 1 9999.000
2021 08 05 13 30 00 1 9999.000
2021 08 05 13 45 00 1 9999.000
2021 08 05 14 00 00 1 9999.000
2021 08 05 14 15 00 1 9999.000
2021 08 05 14 30 00 1 9999.000
2021 08 05 14 45 00 1 9999.000
2021 08 05 15 00 00 1 9999.000
2021 08 05 15 15 00 1 9999.000
2021 08 05 15 30 00 1 9999.000
2021 08 05 15 45 00 1 9999.000
2021 08 05 16 00 00 1 9999.000
2021 08 05 16 15 00 1 9999.000
2021 08 05 16 30 00 1 9999.000
2021 08 05 16 45 00 1 9999.000
2021 08 05 17 00 00 1 9999.000
2021 08 05 17 15 00 1 9999.000
2021 08 05 17 30 00 1 9999.000
2021 08 05 17 45 00 1 9999.000
2021 08 05 18 00 00 1 9999.000
2021 08 05 18 15 00 1 9999.000
2021 08 05 18 30 00 1 9999.000
2021 08 05 18 45 00 1 9999.000
2021 08 05 19 00 00 1 9999.000
2021 08 05 19 15 00 1 9999.000
2021 08 05 19 30 00 1 9999.000
2021 08 05 19 45 00 1 9999.000
2021 08 05 20 00 00 1 9999.000
2021 08 05 20 15 00 1 9999.000
2021 08 05 20 30 00 1 9999.000
2021 08 05 20 45 00 1 9999.000
2021 08 05 21 00 00 1 9999.000
2021 08 05 21 15 00 1 9999.000
2021 08 05 21 30 00 1 9999.000
2021 08 05 21 45 00 1 9999.000
2021 08 05 22 00 00 1 9999.000
2021 08 05 22 15 00 1 9999.000
2021 08 05 22 30 00 1 9999.000
2021 08 05 22 45 00 1 9999.000
2021 08 05 23 00 00 1 9999.000
2021 08 05 23 15 00 1 9999.000
2021 08 05 23 30 00 1 9999.000
2021 08 05 23 45 00 1 9999.000
2021 08 06 00 00 00 1 9999.000
2021 08 06 00 15 00 1 9999.000
2021 08 06 00 30 00 1 9999.000
2021 08 06 00 45 00 1 9999.000
2021 08 06 01 00 00 1 9999.000
2021 08 06 01 15 00 1 9999.000
2021 08 06 01 30 00 1 9999.000
2021 08 06 01 45 00 1 9999.000
2021 08 06 02 00 00 1 9999.000
2021 08 06 02 15 00 1 9999.000
2021 08 06 02 30 00 1 9999.000
2021 08 06 02 45 00 1 9999.000
2021 08 06 03 00 00 1 9999.000
2021 08 06 03 15 00 1 9999.000
2021 08 06 03 30 00 1 9999.000
2021 08 06 03 45 00 1 9999.000
2021 08 06 04 00 00 1 9999.000
2021 08 06 04 15 00 1 9999.000
2021 08 06 04 30 00 1 9999.000
2021 08 06 04 45 00 1 9999.000
2021 08 06 05 00 00 1 9999.000
2021 08 06 05 15 00 1 9999.000
2021 08 06 05 30 00 1 9999.000
2021 08 06 05 45 00 1 9999.000
2021 08 06 06 00 00 1 9999.000
2021 08 06 06 15 00 1 9999.000
2021 08 06 06 30 00 1 9999.000
2021 08 06 06 45 00 1 9999.000
2021 08 06 07 00 00 1 9999.000
2021 08 06 07 15 00 1 9999.000
2021 08 06 07 30 00 1 9999.000
2021 08 06 07 45 00 1 9999.000
2021 08 06 08 00 00 1 9999.000
2021 08 06 08 15 00 1 9999.000
2021 08 06 08 30 00 1 9999.000
2021 08 06 08 45 00 1 9999.000
2021 08 06 09 00 00 1 9999.000
2021 08 06 09 15 00 1 9999.000
2021 08 06 09 30 00 1 9999.000
2021 08 06 09 45 00 1 9999.000
2021 08 06 10 00 00 1 9999.000
2021 08 06 10 15 00 1 9999.000
2021 08 06 10 30 00 1 9999.000
2021 08 06 10 45 00 1 9999.000
2021 08 06 11 00 00 1 9999.000
2021 08 06 11 15 00 1 9999.000
2021 08 06 11 30 00 1 9999.000
2021 08 06 11 45 00 1 9999.000
2021 08 06 12 00 00 1 9999.000
2021 08 06 12 15 00 1 9999.000
2021 08 06 12 30 00 1 9999.000
2021 08 06 12 45 00 1 9999.000
2021 08 06 13 00 00 1 9999.000
2021 08 06 13 15 00 1 9999.000
2021 08 06 13 30 00 1 9999.000
2021 08 06 13 45 00 1 9999.000
2021 08 06 14 00 00 1 9999.000
2021 08 06 14 15 00 1 9999.000
2021 08 06 14 30 00 1 9999.000
2021 08 06 14 45 00 1 9999.000
2021 08 06 15 00 00 1 9999.000
2021 08 06 15 15 00 1 9999.000
2021 08 06 15 30 00 1 9999.000
2021 08 06 15 45 00 1 9999.000
2021 08 06 16 00 00 1 9999.000
2021 08 06 16 15 00 1 9999.000
2021 08 06 16 30 00 1 9999.000
2021 08 06 16 45 00 1 9999.000
2021 08 06 17 00 00 1 9999.000
2021 08 06 17 15 00 1 9999.000
2021 08 06 17 30 00 1 9999.000
2021 08 06 17 45 00 1 9999.000
2021 08 06 18 00 00 1 9999.000
2021 08 06 18 15 00 1 9999.000
2021 08 06 18 30 00 1 9999.000
2021 08 06 18 45 00 1 9999.000
2021 08 06 19 00 00 1 9999.000
2021 08 06 19 15 00 1 9999.000
2021 08 06 19 30 00 1 9999.000
2021 08 06 19 45 00 1 9999.000
2021 08 06 20 00 00 1 9999.000
2021 08 06 20 15 00 1 9999.000
2021 08 06 20 30 00 1 9999.000
2021 08 06 20 45 00 1 9999.000
2021 08 06 21 00 00 1 9999.000
2021 08 06 21 15 00 1 9999.000
2021 08 06 21 30 00 1 9999.000
2021 08 06 21 45 00 1 9999.000
2021 08 06 22 00 00 1 9999.000
2021 08 06 22 15 00 1 9999.000
2021 08 06 22 30 00 1 9999.000
2021 08 06 22 45 00 1 9999.000
2021 08 06 23 00 00 1 9999.000
2021 08 06 23 15 00 1 9999.000
2021 08 06 23 30 00 1 9999.000
2021 08 06 23 45 00 1 9999.000
2021 08 07 00 00 00 1 9999.000
2021 08 07 00 15 00 1 9999.000
2021 08 07 00 30 00 1 9999.000
2021 08 07 00 45 00 1 9999.000
2021 08 07 01 00 00 1 9999.000
2021 08 07 01 15 00 1 9999.000
2021 08 07 01 30 00 1 9999.000
2021 08 07 01 45 00 1 9999.000
2021 08 07 02 00 00 1 9999.000
2021 08 07 02 15 00 1 9999.000
2021 08 07 02 30 00 1 9999.000
2021 08 07 02 45 00 1 9999.000
2021 08 07 03 00 00 1 9999.000
2021 08 07 03 15 00 1 9999.000
2021 08 07 03 30 00 1 9999.000
2021 08 07 03 45 00 1 9999.000
2021 08 07 04 00 00 1 9999.000
2021 08 07 04 15 00 1 9999.000
2021 08 07 04 30 00 1 9999.000
2021 08 07 04 45 00 1 9999.000
2021 08 07 05 00 00 1 9999.000
2021 08 07 05 15 00 1 9999.000
2021 08 07 05 30 00 1 9999.000
2021 08 07 05 45 00 1 9999.000
2021 08 07 06 00 00 1 9999.000
2021 08 07 06 15 00 1 9999.000
2021 08 07 06 30 00 1 9999.000
2021 08 07 06 45 00 1 9999.000
2021 08 07 07 00 00 1 9999.000
2021 08 07 07 15 00 1 9999.000
2021 08 07 07 30 00 1 9999.000
2021 08 07 07 45 00 1 9999.000
2021 08 07 08 00 00 1 9999.000
2021 08 07 08 15 00 1 9999.000
2021 08 07 08 30 00 1 9999.000
2021 08 07 08 45 00 1 9999.000
2021 08 07 09 00 00 1 9999.000
2021 08 07 09 15 00 1 9999.000
2021 08 07 09 30 00 1 9999.000
2021 08 07 09 45 00 1 9999.000
2021 08 07 10 00 00 1 9999.000
2021 08 07 10 15 00 1 9999.000
2021 08 07 10 30 00 1 9999.000
2021 08 07 10 45 00 1 9999.000
2021 08 07 11 00 00 1 9999.000
2021 08 07 11 15 00 1 9999.000
2021 08 07 11 30 00 1 9999.000
2021 08 07 11 45 00 1 9999.000
2021 08 07 12 00 00 1 9999.000
2021 08 07 12 15 00 1 9999.000
2021 08 07 12 30 00 1 9999.000
2021 08 07 12 45 00 1 9999.000
2021 08 07 13 00 00 1 9999.000
2021 08 07 13 15 00 1 9999.000
2021 08 07 13 30 00 1 9999.000
2021 08 07 13 45 00 1 9999.000
2021 08 07 14 00 00 1 9999.000
2021 08 07 14 15 00 1 9999.000
2021 08 07 14 30 00 1 9999.000
2021 08 07 14 45 00 1 9999.000
2021 08 07 15 00 00 1 9999.000
2021 08 07 15 15 00 1 9999.000
2021 08 07 15 30 00 1 9999.000
2021 08 07 15 45 00 1 9999.000
2021 08 07 16 00 00 1 9999.000
2021 08 07 16 15 00 1 9999.000
2021 08 07 16 30 00 1 9999.000
2021 08 07 16 45 00 1 9999.000
2021 08 07 17 00 00 1 9999.000
2021 08 07 17 15 00 1 9999.000
2021 08 07 17 30 00 1 9999.000
2021 08 07 17 45 00 1 9999.000
2021 08 07 18 00 00 1 9999.000
2021 08 07 18 15 00 1 9999.000
2021 08 07 18 30 00 1 9999.000
2021 08 07 18 45 00 1 9999.000
2021 08 07 19 00 00 1 9999.000
2021 08 07 19 15 00 1 9999.000
2021 08 07 19 30 00 1 9999.000
2021 08 07 19 45 00 1 9999.000
2021 08 07 20 00 00 1 9999.000
2021 08 07 20 15 00 1 9999.000
2021 08 07 20 30 00 1 9999.000
2021 08 07 20 45 00 1 9999.000
2021 08 07 21 00 00 1 9999.000
2021 08 07 21 15 00 1 9999.000
2021 08 07 21 30 00 1 9999.000
2021 08 07 21 45 00 1 9999.000
2021 08 07 22 00 00 1 9999.000
2021 08 07 22 15 00 1 9999.000
2021 08 07 22 30 00 1 9999.000
2021 08 07 22 45 00 1 9999.000
2021 08 07 23 00 00 1 9999.000
2021 08 07 23 15 00 1 9999.000
2021 08 07 23 30 00 1 9999.000
2021 08 07 23 45 00 1 9999.000
2021 08 08 00 00 00 1 9999.000
2021 08 08 00 15 00 1 9999.000
2021 08 08 00 30 00 1 9999.000
2021 08 08 00 45 00 1 9999.000
2021 08 08 01 00 00 1 9999.000
2021 08 08 01 15 00 1 9999.000
2021 08 08 01 30 00 1 9999.000
2021 08 08 01 45 00 1 9999.000
2021 08 08 02 00 00 1 9999.000
2021 08 08 02 15 00 1 9999.000
2021 08 08 02 30 00 1 9999.000
2021 08 08 02 45 00 1 9999.000
2021 08 08 03 00 00 1 9999.000
2021 08 08 03 15 00 1 9999.000
2021 08 08 03 30 00 1 9999.000
2021 08 08 03 45 00 1 9999.000
2021 08 08 04 00 00 1 9999.000
2021 08 08 04 15 00 1 9999.000
2021 08 08 04 30 00 1 9999.000
2021 08 08 04 45 00 1 9999.000
2021 08 08 05 00 00 1 9999.000
2021 08 08 05 15 00 1 9999.000
2021 08 08 05 30 00 1 9999.000
